time;position;tas;heading_angle;climb_angle;
9227.979573s;50°22'58.159014"N 6°26'20.956224"E 30000.00ft;700.0km/h;61.71°;0.00°;
9279.408144s;50°25'30.895504"N 6°33'48.007737"E 30000.00ft;700.0km/h;61.81°;0.00°;
9330.836716s;50°28'3.154841"N 6°41'15.860157"E 30000.00ft;700.0km/h;61.90°;0.00°;
9382.265287s;50°30'34.935447"N 6°48'44.513615"E 30000.00ft;700.0km/h;62.00°;0.00°;
9433.693859s;50°33'6.235737"N 6°56'13.968215"E 30000.00ft;700.0km/h;62.10°;0.00°;
9485.122430s;50°35'37.054129"N 7°3'44.224041"E 30000.00ft;700.0km/h;62.19°;0.00°;
9536.551002s;50°38'7.389036"N 7°11'15.281157"E 30000.00ft;700.0km/h;62.29°;0.00°;
9587.979573s;50°40'37.238871"N 7°18'47.139599"E 30000.00ft;700.0km/h;62.39°;0.00°;
9639.408144s;50°43'6.602043"N 7°26'19.799385"E 30000.00ft;700.0km/h;62.48°;0.00°;
9690.836716s;50°45'35.476964"N 7°33'53.260508"E 30000.00ft;700.0km/h;62.58°;0.00°;
9742.265287s;50°48'3.862039"N 7°41'27.522938"E 30000.00ft;700.0km/h;62.68°;0.00°;
9793.693859s;50°50'31.755675"N 7°49'2.586621"E 30000.00ft;700.0km/h;62.78°;0.00°;
9845.122430s;50°52'59.156276"N 7°56'38.451481"E 30000.00ft;700.0km/h;62.87°;0.00°;
9896.551002s;50°55'26.062246"N 8°4'15.117418"E 30000.00ft;700.0km/h;62.97°;0.00°;
9947.979573s;50°57'52.471986"N 8°11'52.584307"E 30000.00ft;700.0km/h;63.07°;0.00°;
9999.408144s;51°0'18.383897"N 8°19'30.851999"E 30000.00ft;700.0km/h;63.17°;0.00°;
10050.836716s;51°2'43.796378"N 8°27'9.920321"E 30000.00ft;700.0km/h;63.27°;0.00°;
10102.265287s;51°5'8.707827"N 8°34'49.789077"E 30000.00ft;700.0km/h;63.37°;0.00°;
10153.693859s;51°7'33.116640"N 8°42'30.458044"E 30000.00ft;700.0km/h;63.47°;0.00°;
10205.122430s;51°9'57.021213"N 8°50'11.926976"E 30000.00ft;700.0km/h;63.57°;0.00°;
10256.551002s;51°12'20.419941"N 8°57'54.195599"E 30000.00ft;700.0km/h;63.67°;0.00°;
10307.979573s;51°14'43.311217"N 9°5'37.263618"E 30000.00ft;700.0km/h;63.77°;0.00°;
10359.408144s;51°17'5.693433"N 9°13'21.130710"E 30000.00ft;700.0km/h;63.87°;0.00°;
