time;position_error
31470.06s;0.3304nm;
31521.49s;0.3285nm;
31572.92s;0.3274nm;
31624.35s;0.3271nm;
31675.78s;0.3279nm;
31727.20s;0.3298nm;
31778.63s;0.3328nm;
31830.06s;0.3367nm;
31881.49s;0.3410nm;
31932.92s;0.3453nm;
31984.35s;0.3488nm;
32035.78s;0.3509nm;
32087.20s;0.3513nm;
32138.63s;0.3497nm;
32190.06s;0.3459nm;
32241.49s;0.3404nm;
32292.92s;0.3335nm;
32344.35s;0.3258nm;
32395.78s;0.3179nm;
32447.20s;0.3104nm;
32498.63s;0.3036nm;
32550.06s;0.2979nm;
32601.49s;0.2934nm;
32652.92s;0.2900nm;
32704.35s;0.2879nm;
32755.78s;0.2870nm;
32807.20s;0.2874nm;
32858.63s;0.2894nm;
32910.06s;0.2928nm;
32961.49s;0.2977nm;
33012.92s;0.3036nm;
33064.35s;0.3101nm;
33115.78s;0.3166nm;
33167.20s;0.3222nm;
33218.63s;0.3262nm;
33270.06s;0.3282nm;
33321.49s;0.3276nm;
33372.92s;0.3245nm;
33424.35s;0.3189nm;
33475.78s;0.3114nm;
33527.20s;0.3025nm;
33578.63s;0.2929nm;
33630.06s;0.2834nm;
33681.49s;0.2747nm;
33732.92s;0.2671nm;
33784.35s;0.2610nm;
33835.78s;0.2565nm;
33887.20s;0.2539nm;
33938.63s;0.2531nm;
33990.06s;0.2542nm;
34041.49s;0.2574nm;
34092.92s;0.2625nm;
34144.35s;0.2694nm;
34195.78s;0.2776nm;
34247.20s;0.2866nm;
34298.63s;0.2955nm;
34350.06s;0.3035nm;
34401.49s;0.3097nm;
34452.92s;0.3136nm;
34504.35s;0.3145nm;
34555.78s;0.3124nm;
34607.20s;0.3073nm;
34658.63s;0.2995nm;
34710.06s;0.2899nm;
34761.49s;0.2790nm;
34812.92s;0.2677nm;
34864.35s;0.2569nm;
34915.78s;0.2472nm;
34967.20s;0.2393nm;
35018.63s;0.2334nm;
35070.06s;0.2300nm;
35121.49s;0.2290nm;
35172.92s;0.2306nm;
35224.35s;0.2349nm;
35275.78s;0.2417nm;
35327.20s;0.2506nm;
35378.63s;0.2611nm;
35430.06s;0.2725nm;
35481.49s;0.2839nm;
35532.92s;0.2943nm;
35584.35s;0.3029nm;
35635.78s;0.3088nm;
35687.20s;0.3115nm;
35738.63s;0.3108nm;
35790.06s;0.3066nm;
35841.49s;0.2993nm;
35892.92s;0.2895nm;
35944.35s;0.2778nm;
35995.78s;0.2653nm;
36047.20s;0.2529nm;
36098.63s;0.2414nm;
36150.06s;0.2317nm;
36201.49s;0.2244nm;
36252.92s;0.2198nm;
36304.35s;0.2184nm;
36355.78s;0.2202nm;
36407.20s;0.2252nm;
36458.63s;0.2332nm;
36510.06s;0.2437nm;
36561.49s;0.2561nm;
36612.92s;0.2696nm;
36664.35s;0.2831nm;
36715.78s;0.2957nm;
36767.20s;0.3064nm;
36818.63s;0.3143nm;
36870.06s;0.3190nm;
36921.49s;0.3199nm;
36972.92s;0.3171nm;
37024.35s;0.3107nm;
37075.78s;0.3014nm;
37127.20s;0.2898nm;
37178.63s;0.2768nm;
37230.06s;0.2635nm;
37281.49s;0.2509nm;
37332.92s;0.2399nm;
37384.35s;0.2312nm;
37435.78s;0.2257nm;
37487.20s;0.2235nm;
37538.63s;0.2251nm;
37590.06s;0.2302nm;
37641.49s;0.2387nm;
37692.92s;0.2500nm;
37744.35s;0.2635nm;
37795.78s;0.2782nm;
37847.20s;0.2932nm;
37898.63s;0.3074nm;
37950.06s;0.3199nm;
38001.49s;0.3296nm;
38052.92s;0.3361nm;
38104.35s;0.3388nm;
38155.78s;0.3375nm;
38207.20s;0.3325nm;
38258.63s;0.3242nm;
38310.06s;0.3132nm;
38361.49s;0.3006nm;
38412.92s;0.2872nm;
38464.35s;0.2741nm;
38515.78s;0.2625nm;
38567.20s;0.2530nm;
38618.63s;0.2466nm;
38670.06s;0.2437nm;
38721.49s;0.2445nm;
38772.92s;0.2492nm;
38824.35s;0.2574nm;
38875.78s;0.2687nm;
38927.20s;0.2824nm;
38978.63s;0.2976nm;
39030.06s;0.3134nm;
39075.60s;0.3255nm;
39127.03s;0.3231nm;
39178.46s;0.3212nm;
39229.89s;0.3194nm;
39281.31s;0.3175nm;
39332.74s;0.3153nm;
39384.17s;0.3126nm;
39435.60s;0.3097nm;
39487.03s;0.3069nm;
39538.46s;0.3043nm;
39589.89s;0.3022nm;
39641.31s;0.3006nm;
39692.74s;0.2996nm;
39744.17s;0.2987nm;
39795.60s;0.2978nm;
39847.03s;0.2963nm;
39898.46s;0.2941nm;
39949.89s;0.2912nm;
40001.31s;0.2876nm;
40052.74s;0.2837nm;
40104.17s;0.2797nm;
40155.60s;0.2763nm;
40207.03s;0.2736nm;
40258.46s;0.2718nm;
40309.89s;0.2708nm;
40361.31s;0.2703nm;
40412.74s;0.2697nm;
40464.17s;0.2686nm;
40515.60s;0.2668nm;
40567.03s;0.2641nm;
40618.46s;0.2606nm;
40669.89s;0.2565nm;
40721.31s;0.2524nm;
40772.74s;0.2486nm;
40824.17s;0.2454nm;
40875.60s;0.2429nm;
40927.03s;0.2410nm;
40978.46s;0.2393nm;
41029.89s;0.2375nm;
41081.31s;0.2354nm;
41132.74s;0.2328nm;
41184.17s;0.2298nm;
41235.60s;0.2267nm;
41287.03s;0.2239nm;
41338.46s;0.2218nm;
41389.89s;0.2208nm;
41441.31s;0.2210nm;
41492.74s;0.2221nm;
41544.17s;0.2236nm;
41595.60s;0.2250nm;
41647.03s;0.2255nm;
41698.46s;0.2247nm;
41749.89s;0.2223nm;
41801.31s;0.2184nm;
41852.74s;0.2132nm;
41904.17s;0.2072nm;
41955.60s;0.2012nm;
42007.03s;0.1955nm;
42058.46s;0.1907nm;
42109.89s;0.1868nm;
42161.31s;0.1837nm;
42212.74s;0.1811nm;
42264.17s;0.1787nm;
42315.60s;0.1763nm;
42367.03s;0.1740nm;
42418.46s;0.1720nm;
42469.89s;0.1708nm;
42521.31s;0.1708nm;
42572.74s;0.1724nm;
42624.17s;0.1756nm;
42675.60s;0.1800nm;
42727.03s;0.1848nm;
42778.46s;0.1891nm;
42829.89s;0.1922nm;
42881.31s;0.1932nm;
42932.74s;0.1919nm;
42984.17s;0.1880nm;
43035.60s;0.1820nm;
43087.03s;0.1742nm;
43138.46s;0.1655nm;
43189.89s;0.1566nm;
43241.31s;0.1483nm;
43292.74s;0.1412nm;
43344.17s;0.1353nm;
43395.60s;0.1308nm;
43447.03s;0.1274nm;
43498.46s;0.1249nm;
43549.89s;0.1234nm;
43601.31s;0.1231nm;
43652.74s;0.1245nm;
43704.17s;0.1280nm;
43755.60s;0.1338nm;
43807.03s;0.1416nm;
43858.46s;0.1506nm;
43909.89s;0.1598nm;
43961.31s;0.1681nm;
44012.74s;0.1745nm;
44064.17s;0.1782nm;
44115.60s;0.1787nm;
44167.03s;0.1759nm;
44218.46s;0.1699nm;
44269.89s;0.1612nm;
44321.31s;0.1504nm;
44372.74s;0.1386nm;
44424.17s;0.1266nm;
44475.60s;0.1153nm;
44527.03s;0.1055nm;
44578.46s;0.0977nm;
44629.89s;0.0922nm;
44681.31s;0.0891nm;
44732.74s;0.0886nm;
44784.17s;0.0909nm;
44835.60s;0.0963nm;
44887.03s;0.1047nm;
44938.46s;0.1157nm;
44989.89s;0.1286nm;
45041.31s;0.1422nm;
45092.74s;0.1556nm;
45144.17s;0.1676nm;
45195.60s;0.1772nm;
45247.03s;0.1837nm;
45298.46s;0.1865nm;
45349.89s;0.1855nm;
45401.31s;0.1808nm;
45452.74s;0.1727nm;
45504.17s;0.1620nm;
45555.60s;0.1494nm;
45607.03s;0.1360nm;
45658.46s;0.1228nm;
45709.89s;0.1108nm;
45761.31s;0.1010nm;
45812.74s;0.0940nm;
45864.17s;0.0906nm;
45915.60s;0.0909nm;
45967.03s;0.0950nm;
46018.46s;0.1029nm;
46069.89s;0.1139nm;
46101.26s;0.1191nm;
46152.69s;0.1329nm;
46204.12s;0.1478nm;
46255.54s;0.1628nm;
46306.97s;0.1769nm;
46358.40s;0.1891nm;
46409.83s;0.1986nm;
46461.26s;0.2046nm;
46512.69s;0.2069nm;
46564.12s;0.2052nm;
46615.54s;0.1999nm;
46666.97s;0.1914nm;
46718.40s;0.1804nm;
46769.83s;0.1680nm;
46821.26s;0.1550nm;
46872.69s;0.1426nm;
46924.12s;0.1317nm;
46975.54s;0.1231nm;
47026.97s;0.1176nm;
47078.40s;0.1154nm;
47129.83s;0.1169nm;
47181.26s;0.1220nm;
47232.69s;0.1305nm;
47284.12s;0.1418nm;
47335.54s;0.1555nm;
47386.97s;0.1705nm;
47438.40s;0.1859nm;
47489.83s;0.2007nm;
47541.26s;0.2138nm;
47592.69s;0.2244nm;
47644.12s;0.2317nm;
47695.54s;0.2353nm;
47746.97s;0.2349nm;
47798.40s;0.2307nm;
47849.83s;0.2232nm;
47901.26s;0.2129nm;
47952.69s;0.2007nm;
48004.12s;0.1876nm;
48055.54s;0.1747nm;
48106.97s;0.1630nm;
48158.40s;0.1534nm;
48209.83s;0.1467nm;
48261.26s;0.1433nm;
48312.69s;0.1436nm;
48364.12s;0.1476nm;
48415.54s;0.1552nm;
48466.97s;0.1659nm;
48518.40s;0.1791nm;
48569.83s;0.1940nm;
48621.26s;0.2095nm;
48672.69s;0.2248nm;
48724.12s;0.2386nm;
48775.54s;0.2502nm;
48826.97s;0.2587nm;
48878.40s;0.2636nm;
48929.83s;0.2646nm;
48981.26s;0.2617nm;
49032.69s;0.2552nm;
49084.12s;0.2457nm;
49135.54s;0.2339nm;
49186.97s;0.2210nm;
49238.40s;0.2078nm;
49289.83s;0.1956nm;
49341.26s;0.1851nm;
49392.69s;0.1772nm;
49444.12s;0.1727nm;
49495.54s;0.1717nm;
49546.97s;0.1746nm;
49598.40s;0.1811nm;
49649.83s;0.1909nm;
49701.26s;0.2035nm;
49752.69s;0.2180nm;
49804.12s;0.2335nm;
49855.54s;0.2491nm;
49906.97s;0.2636nm;
49958.40s;0.2761nm;
50009.83s;0.2857nm;
50061.26s;0.2919nm;
50112.69s;0.2942nm;
50164.12s;0.2926nm;
50215.54s;0.2872nm;
50266.97s;0.2786nm;
50318.40s;0.2675nm;
50369.83s;0.2548nm;
50421.26s;0.2416nm;
50472.69s;0.2288nm;
50524.12s;0.2176nm;
50575.54s;0.2088nm;
50626.97s;0.2031nm;
50678.40s;0.2009nm;
50729.83s;0.2025nm;
50781.26s;0.2078nm;
50832.69s;0.2167nm;
50884.12s;0.2285nm;
50935.54s;0.2425nm;
50986.97s;0.2579nm;
51038.40s;0.2735nm;
51089.83s;0.2885nm;
