time;position;tas;heading_angle;climb_angle;
11799.41s;52°20'0.553592"N 12°55'15.556647"E 20029.69ft;693.9km/h;66.78°;-0.00°;
11850.84s;52°22'6.631672"N 13°3'19.146174"E 20027.57ft;695.1km/h;66.89°;-0.00°;
11902.27s;52°24'12.430519"N 13°11'24.548006"E 20025.60ft;696.6km/h;66.99°;-0.00°;
11953.69s;52°26'17.989392"N 13°19'31.938433"E 20023.77ft;698.3km/h;67.10°;-0.00°;
12005.12s;52°28'23.324192"N 13°27'41.406734"E 20022.07ft;700.2km/h;67.21°;-0.00°;
12056.55s;52°30'28.426398"N 13°35'52.948367"E 20020.50ft;702.0km/h;67.32°;-0.00°;
12107.98s;52°32'33.263782"N 13°44'6.464913"E 20019.03ft;703.8km/h;67.42°;-0.00°;
12159.41s;52°34'37.782829"N 13°52'21.770781"E 20017.67ft;705.2km/h;67.53°;-0.00°;
12210.84s;52°36'41.912665"N 14°0'38.606238"E 20016.41ft;706.3km/h;67.64°;-0.00°;
12262.27s;52°38'45.570215"N 14°8'56.655828"E 20015.24ft;706.9km/h;67.75°;-0.00°;
12313.69s;52°40'48.666179"N 14°17'15.570873"E 20014.15ft;707.0km/h;67.86°;-0.00°;
12365.12s;52°42'51.111408"N 14°25'34.994443"E 20013.14ft;706.6km/h;67.97°;-0.00°;
12416.55s;52°44'52.823211"N 14°33'54.587010"E 20012.20ft;705.7km/h;68.08°;-0.00°;
12467.98s;52°46'53.731126"N 14°42'14.050918"E 20011.33ft;704.5km/h;68.20°;-0.00°;
12519.41s;52°48'53.781756"N 14°50'33.151913"E 20010.52ft;702.9km/h;68.31°;-0.00°;
12570.84s;52°50'52.942337"N 14°58'51.736146"E 20009.77ft;701.1km/h;68.42°;-0.00°;
12622.27s;52°52'51.202776"N 15°7'9.741432"E 20009.07ft;699.2km/h;68.53°;-0.00°;
12673.69s;52°54'48.576043"N 15°15'27.201902"E 20008.42ft;697.4km/h;68.64°;-0.00°;
12725.12s;52°56'45.096901"N 15°23'44.245710"E 20007.82ft;695.7km/h;68.75°;-0.00°;
