time;position;tas;heading_angle;climb_angle;
9330.84s;50°27'55.570439"N 6°41'1.145361"E 21040.97ft;693.1km/h;61.90°;-0.14°;
9382.27s;50°30'27.559479"N 6°48'30.300814"E 20966.62ft;693.6km/h;62.00°;-0.13°;
9433.69s;50°32'59.166858"N 6°56'0.555696"E 20897.57ft;694.6km/h;62.09°;-0.12°;
9485.12s;50°35'30.374345"N 7°3'31.864833"E 20833.46ft;696.0km/h;62.19°;-0.11°;
9536.55s;50°38'1.157931"N 7°11'4.164768"E 20773.93ft;697.7km/h;62.28°;-0.10°;
9587.98s;50°40'31.489472"N 7°18'37.378279"E 20718.65ft;699.6km/h;62.38°;-0.10°;
9639.41s;50°43'1.338627"N 7°26'11.419896"E 20667.32ft;701.4km/h;62.48°;-0.09°;
9690.84s;50°45'30.674939"N 7°33'46.202042"E 20619.65ft;703.2km/h;62.58°;-0.08°;
9742.27s;50°47'59.469909"N 7°41'21.641342"E 20575.39ft;704.7km/h;62.67°;-0.08°;
9793.69s;50°50'27.698920"N 7°48'57.664650"E 20534.29ft;705.9km/h;62.77°;-0.07°;
9845.12s;50°52'55.342866"N 7°56'34.214359"E 20496.13ft;706.7km/h;62.87°;-0.07°;
9896.55s;50°55'22.389372"N 8°4'11.252608"E 20460.69ft;707.0km/h;62.97°;-0.06°;
9947.98s;50°57'48.833526"N 8°11'48.764073"E 20427.78ft;706.8km/h;63.07°;-0.06°;
9999.41s;51°0'14.678066"N 8°19'26.757137"E 20397.23ft;706.1km/h;63.17°;-0.05°;
10050.84s;51°2'39.933012"N 8°27'5.263356"E 20368.85ft;704.9km/h;63.27°;-0.05°;
10102.27s;51°5'4.614780"N 8°34'44.335243"E 20342.51ft;703.4km/h;63.37°;-0.05°;
10153.69s;51°7'28.744839"N 8°42'24.042531"E 20318.04ft;701.7km/h;63.47°;-0.04°;
10205.12s;51°9'52.348016"N 8°50'4.467172"E 20295.32ft;699.8km/h;63.57°;-0.04°;
10256.55s;51°12'15.450564"N 8°57'45.697448"E 20274.23ft;698.0km/h;63.67°;-0.04°;
10307.98s;51°14'38.078150"N 9°5'27.821584"E 20254.64ft;696.2km/h;63.77°;-0.03°;
10359.41s;51°17'0.253892"N 9°13'10.921359"E 20236.45ft;694.8km/h;63.87°;-0.03°;
10410.84s;51°19'21.996595"N 9°20'55.066145"E 20219.56ft;693.7km/h;63.97°;-0.03°;
10462.27s;51°21'43.319315"N 9°28'40.307833"E 20203.88ft;693.1km/h;64.07°;-0.03°;
10513.69s;51°24'4.228335"N 9°36'26.676989"E 20189.32ft;693.0km/h;64.17°;-0.03°;
10565.12s;51°26'24.722654"N 9°44'14.180546"E 20175.80ft;693.4km/h;64.27°;-0.02°;
10616.55s;51°28'44.793989"N 9°52'2.801188"E 20163.24ft;694.3km/h;64.37°;-0.02°;
10667.98s;51°31'4.427307"N 9°59'52.498484"E 20151.58ft;695.5km/h;64.47°;-0.02°;
10719.41s;51°33'23.601845"N 10°7'43.211690"E 20140.75ft;697.1km/h;64.58°;-0.02°;
10770.84s;51°35'42.292525"N 10°15'34.864033"E 20130.70ft;698.9km/h;64.68°;-0.02°;
10822.27s;51°38'0.471678"N 10°23'27.368155"E 20121.36ft;700.8km/h;64.78°;-0.02°;
10873.69s;51°40'18.110936"N 10°31'20.632350"E 20112.69ft;702.6km/h;64.88°;-0.02°;
