time;position;tas;heading_angle;climb_angle;
12365.12s;52°42'42.892993"N 14°25'10.165068"E 20013.14ft;700.0km/h;67.97°;-0.00°;
12416.55s;52°44'43.656093"N 14°33'25.642326"E 20012.20ft;700.0km/h;68.08°;-0.00°;
12467.98s;52°46'43.843559"N 14°41'41.882064"E 20011.33ft;700.0km/h;68.19°;-0.00°;
12519.41s;52°48'43.453794"N 14°49'58.882730"E 20010.52ft;700.0km/h;68.30°;-0.00°;
12570.84s;52°50'42.485201"N 14°58'16.642735"E 20009.77ft;700.0km/h;68.41°;-0.00°;
12622.27s;52°52'40.936185"N 15°6'35.160460"E 20009.07ft;700.0km/h;68.52°;-0.00°;
12673.69s;52°54'38.805153"N 15°14'54.434252"E 20008.42ft;700.0km/h;68.63°;-0.00°;
12725.12s;52°56'36.090514"N 15°23'14.462426"E 20007.82ft;700.0km/h;68.74°;-0.00°;
12776.55s;52°58'32.790679"N 15°31'35.243262"E 20007.26ft;700.0km/h;68.85°;-0.00°;
12827.98s;53°0'28.904061"N 15°39'56.775009"E 20006.74ft;700.0km/h;68.96°;-0.00°;
12879.41s;53°2'24.429076"N 15°48'19.055880"E 20006.26ft;700.0km/h;69.07°;-0.00°;
12930.84s;53°4'19.364140"N 15°56'42.084056"E 20005.81ft;700.0km/h;69.19°;-0.00°;
12982.27s;53°6'13.707674"N 16°5'5.857685"E 20005.40ft;700.0km/h;69.30°;-0.00°;
13033.69s;53°8'7.458100"N 16°13'30.374879"E 20005.01ft;700.0km/h;69.41°;-0.00°;
13085.12s;53°10'0.613843"N 16°21'55.633719"E 20004.66ft;700.0km/h;69.52°;-0.00°;
13136.55s;53°11'53.173330"N 16°30'21.632248"E 20004.32ft;700.0km/h;69.63°;-0.00°;
13187.98s;53°13'45.134991"N 16°38'48.368478"E 20004.01ft;700.0km/h;69.75°;-0.00°;
13239.41s;53°15'36.497258"N 16°47'15.840387"E 20003.73ft;700.0km/h;69.86°;-0.00°;
13290.84s;53°17'27.258566"N 16°55'44.045915"E 20003.46ft;700.0km/h;69.97°;-0.00°;
13342.27s;53°19'17.417354"N 17°4'12.982973"E 20003.21ft;700.0km/h;70.09°;-0.00°;
