time;position_error
30441.49s;0.0398nm;
30492.92s;0.0287nm;
30544.35s;0.0155nm;
30595.78s;0.0012nm;
30647.20s;0.0132nm;
30698.63s;0.0267nm;
30750.06s;0.0382nm;
30801.49s;0.0470nm;
30852.92s;0.0524nm;
30904.35s;0.0540nm;
30955.78s;0.0517nm;
31007.20s;0.0457nm;
31058.63s;0.0364nm;
31110.06s;0.0245nm;
31161.49s;0.0108nm;
31212.92s;0.0036nm;
31264.35s;0.0178nm;
31315.78s;0.0308nm;
31367.20s;0.0415nm;
31418.63s;0.0492nm;
31470.06s;0.0533nm;
31521.49s;0.0537nm;
31572.92s;0.0501nm;
31624.35s;0.0429nm;
31675.78s;0.0327nm;
31727.20s;0.0201nm;
31778.63s;0.0060nm;
31830.06s;0.0085nm;
31881.49s;0.0223nm;
31932.92s;0.0346nm;
31984.35s;0.0444nm;
32035.78s;0.0510nm;
32087.20s;0.0539nm;
32138.63s;0.0529nm;
32190.06s;0.0481nm;
32241.49s;0.0398nm;
32292.92s;0.0287nm;
32344.35s;0.0155nm;
32395.78s;0.0012nm;
32447.20s;0.0132nm;
32498.63s;0.0267nm;
32550.06s;0.0382nm;
32601.49s;0.0470nm;
32652.92s;0.0524nm;
32704.35s;0.0540nm;
32755.78s;0.0517nm;
32807.20s;0.0457nm;
32858.63s;0.0364nm;
32910.06s;0.0245nm;
32961.49s;0.0108nm;
33012.92s;0.0036nm;
33064.35s;0.0178nm;
33115.78s;0.0308nm;
33167.20s;0.0415nm;
33218.63s;0.0492nm;
33270.06s;0.0533nm;
33321.49s;0.0537nm;
33372.92s;0.0501nm;
33424.35s;0.0429nm;
33475.78s;0.0327nm;
33527.20s;0.0201nm;
33578.63s;0.0060nm;
33630.06s;0.0085nm;
33681.49s;0.0223nm;
33732.92s;0.0346nm;
33784.35s;0.0444nm;
33835.78s;0.0510nm;
33887.20s;0.0539nm;
33938.63s;0.0529nm;
33990.06s;0.0481nm;
34041.49s;0.0398nm;
34092.92s;0.0287nm;
34144.35s;0.0155nm;
34195.78s;0.0012nm;
34247.20s;0.0132nm;
34298.63s;0.0267nm;
34350.06s;0.0382nm;
34401.49s;0.0470nm;
34452.92s;0.0524nm;
34504.35s;0.0540nm;
34555.78s;0.0517nm;
34607.20s;0.0457nm;
34658.63s;0.0364nm;
34710.06s;0.0245nm;
34761.49s;0.0108nm;
34812.92s;0.0036nm;
34864.35s;0.0178nm;
34915.78s;0.0308nm;
34967.20s;0.0415nm;
35018.63s;0.0492nm;
35070.06s;0.0533nm;
35121.49s;0.0537nm;
35172.92s;0.0501nm;
35224.35s;0.0429nm;
35275.78s;0.0327nm;
35327.20s;0.0201nm;
35378.63s;0.0060nm;
35430.06s;0.0085nm;
35481.49s;0.0223nm;
35532.92s;0.0346nm;
35584.35s;0.0444nm;
35635.78s;0.0510nm;
35687.20s;0.0539nm;
35738.63s;0.0529nm;
35790.06s;0.0481nm;
35841.49s;0.0398nm;
35892.92s;0.0287nm;
35944.35s;0.0155nm;
35995.78s;0.0012nm;
36047.20s;0.0132nm;
36098.63s;0.0267nm;
36150.06s;0.0382nm;
36201.49s;0.0470nm;
36252.92s;0.0524nm;
36304.35s;0.0540nm;
36355.78s;0.0517nm;
36407.20s;0.0457nm;
36458.63s;0.0364nm;
36510.06s;0.0245nm;
36561.49s;0.0108nm;
36612.92s;0.0036nm;
36664.35s;0.0178nm;
36715.78s;0.0308nm;
36767.20s;0.0415nm;
36818.63s;0.0492nm;
36870.06s;0.0533nm;
36921.49s;0.0537nm;
36972.92s;0.0501nm;
37024.35s;0.0429nm;
37075.78s;0.0327nm;
37127.20s;0.0201nm;
37178.63s;0.0060nm;
37230.06s;0.0085nm;
37281.49s;0.0223nm;
37332.92s;0.0346nm;
37384.35s;0.0444nm;
37435.78s;0.0510nm;
37487.20s;0.0539nm;
37538.63s;0.0529nm;
37590.06s;0.0481nm;
37641.49s;0.0398nm;
37692.92s;0.0287nm;
37744.35s;0.0155nm;
37795.78s;0.0012nm;
37847.20s;0.0132nm;
37898.63s;0.0267nm;
37950.06s;0.0382nm;
38001.49s;0.0470nm;
38052.92s;0.0524nm;
38104.35s;0.0540nm;
38155.78s;0.0517nm;
38207.20s;0.0457nm;
38258.63s;0.0364nm;
38310.06s;0.0245nm;
38361.49s;0.0108nm;
38412.92s;0.0036nm;
38464.35s;0.0178nm;
38515.78s;0.0308nm;
38567.20s;0.0415nm;
38618.63s;0.0492nm;
38670.06s;0.0533nm;
38721.49s;0.0537nm;
38772.92s;0.0501nm;
38824.35s;0.0429nm;
38875.78s;0.0327nm;
38927.20s;0.0201nm;
38978.63s;0.0060nm;
39030.06s;0.0085nm;
39075.60s;0.0184nm;
39127.03s;0.0333nm;
39178.46s;0.0434nm;
39229.89s;0.0504nm;
39281.31s;0.0537nm;
39332.74s;0.0532nm;
39384.17s;0.0488nm;
39435.60s;0.0409nm;
39487.03s;0.0301nm;
39538.46s;0.0171nm;
39589.89s;0.0029nm;
39641.31s;0.0116nm;
39692.74s;0.0252nm;
39744.17s;0.0370nm;
39795.60s;0.0461nm;
39847.03s;0.0519nm;
39898.46s;0.0540nm;
39949.89s;0.0522nm;
40001.31s;0.0466nm;
